Timestamp,How often do you come across online content that feels useful or interesting to your studies or interests?,Q2. Which platforms show you the most useful content? ,"When you see something valuable online, what do you usually do first?
",How do you usually save content that you want to keep? (Select all that apply),"On average, how many new items do you save in a week?
",Q6. How often do you open the section where your saved content is stored?,"When you open your saved section, what is your usual reason? (Select all that apply)",How easy is it for you to find a specific item you’ve saved before?,Where do you store most of your saved items?,How would you describe your collection of saved items?,"When you look at your saved list, what best describes your reaction?",When do you usually look through older content?, What usually happens to the content you save over time?,How helpful do you feel your current way of managing saved content is?,What kind of feature would make it easier to handle saved items? (Select all that apply)
11/12/2025 23:26:13,Rarely,YouTube,Save or mark it,Save post or video on the same app,0-5,once or twice a week,Checking recent saves,Very easy,Mostly in one place,Unorganized but manageable,I rarely open it,Rarely do so,It stays unused,Somewhat helpful,Occasional reminders
11/12/2025 23:51:21,A few times a week,YouTube,Save or mark it,Save post or video on the same app,0-5,Hardly ever,Looking for a specific item,Somewhat easy,Mostly in one place,Unorganized but manageable,I find useful things to check again,When I’m reminded by something,It stays unused,Neutral,Better organization tools
11/12/2025 23:56:11,Several times a day,"Instagram / Reels, LinkedIn, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Take a screenshot, Write it down in a note app",6-15,Hardly ever,Organizing or deleting older items,Very difficult,Spread across a few apps.,Unorganized but manageable,I feel like I have too many items,When I need information for a task,I forget about it,Not helpful,Grouping by topic
11/12/2025 23:59:23,Several times a day,"YouTube, Instagram / Reels, LinkedIn, WhatsApp / Telegram groups",Save or mark it,Send to myself or a friend,0-5,Hardly ever,Looking for a specific item,Somewhat difficult,I don’t keep track,Hard to manage,I rarely open it,When I’m reminded by something,I forget about it,Not helpful,Occasional reminders
11/13/2025 0:04:12,Rarely,"YouTube, LinkedIn",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Bookmark it in browser",0-5,once or twice a month,Looking for a specific item,Very easy,Mostly in one place,Somewhat organized,I feel like I have too many items,When I have free time,I check it once in a while,Somewhat helpful,Quick search or filters
11/13/2025 0:14:05,Rarely,YouTube,Save or mark it,Bookmark it in browser,0-5,Hardly ever,Browsing casually,Somewhat difficult,I don’t keep track,Hard to manage,I rarely open it,Rarely do so,I forget about it,Not helpful,Better organization tools
11/13/2025 0:45:25,Several times a day,"YouTube, Instagram / Reels, LinkedIn, Twitter / X, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot, Bookmark it in browser",0-5,Hardly ever,Browsing casually,Somewhat easy,Spread across a few apps.,Somewhat organized,I find useful things to check again,When I’m reminded by something,It stays unused,Neutral,Quick search or filters
11/13/2025 5:42:06,Once a day,"YouTube, LinkedIn, Twitter / X, WhatsApp / Telegram groups",Share it with someone,"Send to myself or a friend, Take a screenshot, Write it down in a note app",0-5,once or twice a month,Checking recent saves,Somewhat easy,Spread across a few apps.,Somewhat organized,I find useful things to check again,When I need information for a task,I check it once in a while,Very helpful,Occasional reminders
11/13/2025 7:29:24,Several times a day,"YouTube, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend",0-5,once or twice a month,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I find useful things to check again,When I’m reminded by something,I check it once in a while,Somewhat helpful,Occasional reminders
11/13/2025 8:15:47,A few times a week,"YouTube, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot, Bookmark it in browser",6-15,Hardly ever,Looking for a specific item,Very difficult,Spread across a few apps.,Hard to manage,I scroll through quickly,When I need information for a task,I check it once in a while,Somewhat helpful,Occasional reminders
11/13/2025 8:31:02,Rarely,YouTube,Save or mark it,"Save post or video on the same app, Bookmark it in browser",0-5,Hardly ever,Looking for a specific item,Somewhat difficult,Spread across a few apps.,Unorganized but manageable,I feel like I have too many items,When I need information for a task,It stays unused,Somewhat helpful,Quick search or filters
11/13/2025 8:33:05,A few times a week,"YouTube, LinkedIn, WhatsApp / Telegram groups, Google / Blogs",Share it with someone,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",6-15,once or twice a week,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I scroll through quickly,When I need information for a task,I go back to it frequently,Somewhat helpful,Visual dashboard or timeline
11/13/2025 8:41:24,Several times a day,"YouTube, Instagram / Reels, LinkedIn",OptionWatch or read it right away,"Save post or video on the same app, Send to myself or a friend",16-30,once or twice a week,Checking recent saves,Somewhat easy,Mostly in one place,Well organized,I find useful things to check again,When I’m reminded by something,I check it once in a while,Very helpful,Grouping by topic
11/13/2025 8:47:39,Several times a day,"YouTube, LinkedIn, Twitter / X",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Bookmark it in browser",6-15,once or twice a month,Looking for a specific item,Somewhat easy,Spread across a few apps.,Somewhat organized,I find useful things to check again,When I need information for a task,I check it once in a while,Neutral,Quick search or filters
11/13/2025 9:04:41,Several times a day,"Instagram / Reels, LinkedIn",Save or mark it,"Save post or video on the same app, Bookmark it in browser",0-5,Hardly ever,Looking for a specific item,Somewhat easy,Mostly in one place,Well organized,I find useful things to check again,When I’m reminded by something,It stays unused,Somewhat helpful,Grouping by topic
11/13/2025 9:09:42,Several times a day,"Instagram / Reels, LinkedIn",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",6-15,once or twice a week,Browsing casually,Somewhat easy,Mostly in one place,Somewhat organized,I find useful things to check again,When I have free time,I check it once in a while,Somewhat helpful,Visual dashboard or timeline
11/13/2025 9:18:58,Rarely,"LinkedIn, Google / Blogs",Share it with someone,"Save post or video on the same app, I don’t usually save content",0-5,Hardly ever,Checking recent saves,Somewhat difficult,I don’t keep track,Unorganized but manageable,I feel like I have too many items,When I’m reminded by something,It stays unused,Somewhat helpful,Visual dashboard or timeline
11/13/2025 9:19:10,Once a day,YouTube,Save or mark it,"Save post or video on the same app, Bookmark it in browser",0-5,once or twice a week,Looking for a specific item,Somewhat easy,Mostly in one place,Unorganized but manageable,I scroll through quickly,When I need information for a task,I check it once in a while,Somewhat helpful,Grouping by topic
11/13/2025 9:19:40,Once a day,"YouTube, LinkedIn",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",6-15,once or twice a week,Browsing casually,Somewhat easy,Spread across a few apps.,Somewhat organized,I scroll through quickly,When I have free time,I check it once in a while,Somewhat helpful,Better organization tools
11/13/2025 9:23:19,A few times a week,Google / Blogs,OptionWatch or read it right away,I don’t usually save content,0-5,Hardly ever,,,I don’t keep track,,,,,Not helpful,Grouping by topic
11/13/2025 9:29:05,Several times a day,"YouTube, LinkedIn, Google / Blogs",Save or mark it,"Send to myself or a friend, Take a screenshot, Bookmark it in browser, Write it down in a note app",16-30,Hardly ever,Looking for a specific item,Somewhat easy,Spread across a few apps.,Somewhat organized,I find useful things to check again,When I need information for a task,I check it once in a while,Neutral,Better organization tools
11/13/2025 9:31:14,A few times a week,"YouTube, LinkedIn, WhatsApp / Telegram groups",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot, Bookmark it in browser",0-5,once or twice a week,Browsing casually,Somewhat easy,Mostly in one place,Somewhat organized,I scroll through quickly,When I need information for a task,I check it once in a while,Somewhat helpful,Quick search or filters
11/13/2025 9:31:45,Several times a day,"YouTube, Instagram / Reels",Save or mark it,"Send to myself or a friend, Take a screenshot, Bookmark it in browser, Write it down in a note app",6-15,once or twice a month,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I feel like I have too many items,When I need information for a task,It stays unused,Somewhat helpful,Better organization tools
11/13/2025 9:48:26,Several times a day,YouTube,Save or mark it,"Save post or video on the same app, Send to myself or a friend, Bookmark it in browser",6-15,once or twice a week,Organizing or deleting older items,Very easy,Mostly in one place,Well organized,I find useful things to check again,When I have free time,I check it once in a while,Very helpful,
11/13/2025 9:50:31,Several times a day,YouTube,Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",6-15,once or twice a week,Looking for a specific item,Somewhat easy,Mostly in one place,Well organized,I feel like I have too many items,When I have free time,I forget about it,Very helpful,Occasional reminders
11/13/2025 9:52:15,A few times a week,"YouTube, Instagram / Reels, Twitter / X, Google / Blogs",OptionWatch or read it right away,Write it down in a note app,6-15,once or twice a month,Organizing or deleting older items,Very difficult,Spread across a few apps.,Unorganized but manageable,I feel like I have too many items,When I need information for a task,It stays unused,Neutral,Better organization tools
11/13/2025 9:52:15,A few times a week,"YouTube, Instagram / Reels, LinkedIn, WhatsApp / Telegram groups",Save or mark it,"Save post or video on the same app, Send to myself or a friend",0-5,once or twice a month,Looking for a specific item,Somewhat easy,Spread across a few apps.,Well organized,I find useful things to check again,When I need information for a task,I check it once in a while,Somewhat helpful,Visual dashboard or timeline
11/13/2025 9:53:24,Rarely,"YouTube, WhatsApp / Telegram groups",Save or mark it,Write it down in a note app,6-15,once or twice a month,Browsing casually,Somewhat difficult,Spread across a few apps.,Hard to manage,I find useful things to check again,When I’m reminded by something,I forget about it,Not helpful,Quick search or filters
11/13/2025 9:54:13,Rarely,"YouTube, Google / Blogs",Skip it and move on,I don’t usually save content,0-5,,Browsing casually,Very difficult,I don’t keep track,Hard to manage,I rarely open it,Rarely do so,It stays unused,Neutral,Visual dashboard or timeline
11/13/2025 9:54:28,Once a day,"YouTube, Other",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Bookmark it in browser",0-5,once or twice a month,Checking recent saves,Somewhat easy,Mostly in one place,Unorganized but manageable,I find useful things to check again,When I’m reminded by something,It stays unused,Very helpful,Grouping by topic
11/13/2025 9:59:05,Several times a day,"YouTube, LinkedIn, Google / Blogs",Save or mark it,"Send to myself or a friend, Take a screenshot, Bookmark it in browser",0-5,Hardly ever,Looking for a specific item,Very difficult,Spread across a few apps.,Hard to manage,I feel like I have too many items,When I’m reminded by something,I forget about it,Neutral,Visual dashboard or timeline
11/13/2025 10:03:28,Rarely,"LinkedIn, Google / Blogs",Save or mark it,"Send to myself or a friend, Bookmark it in browser",0-5,Hardly ever,Browsing casually,Very easy,Mostly in one place,Somewhat organized,I find useful things to check again,When I have free time,It stays unused,Somewhat helpful,Better organization tools
11/13/2025 10:09:09,Several times a day,"Instagram / Reels, Google / Blogs",Share it with someone,"Send to myself or a friend, Take a screenshot",6-15,once or twice a month,Looking for a specific item,Somewhat difficult,Mostly in one place,Unorganized but manageable,I feel like I have too many items,When I need information for a task,I check it once in a while,Neutral,Grouping by topic
11/13/2025 10:10:42,A few times a week,"LinkedIn, Twitter / X",Save or mark it,Send to myself or a friend,0-5,once or twice a week,Looking for a specific item,Somewhat difficult,Mostly in one place,Somewhat organized,I scroll through quickly,When I’m reminded by something,It stays unused,Neutral,Visual dashboard or timeline
11/13/2025 10:11:37,Several times a day,"Instagram / Reels, LinkedIn",Share it with someone,Send to myself or a friend,6-15,once or twice a week,Looking for a specific item,Somewhat easy,Mostly in one place,Somewhat organized,I find useful things to check again,When I have free time,I check it once in a while,Very helpful,Better organization tools
11/13/2025 10:11:46,Several times a day,YouTube,Save or mark it,Bookmark it in browser,0-5,once or twice a month,Looking for a specific item,Very easy,Mostly in one place,Unorganized but manageable,I scroll through quickly,When I’m reminded by something,I check it once in a while,Neutral,Quick search or filters
11/13/2025 10:16:29,Several times a day,"Instagram / Reels, LinkedIn",OptionWatch or read it right away,"Save post or video on the same app, Send to myself or a friend",16-30,once or twice a week,Looking for a specific item,Very easy,Mostly in one place,Well organized,I find useful things to check again,When I’m reminded by something,I check it once in a while,Very helpful,Grouping by topic
11/13/2025 10:17:11,Several times a day,"YouTube, Google / Blogs",Save or mark it,"Save post or video on the same app, Bookmark it in browser",0-5,Hardly ever,Looking for a specific item,Somewhat difficult,Mostly in one place,Unorganized but manageable,I scroll through quickly,When I’m reminded by something,I check it once in a while,Neutral,Occasional reminders
11/13/2025 10:19:48,Several times a day,"YouTube, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",0-5,once or twice a week,Organizing or deleting older items,Somewhat easy,I don’t keep track,Somewhat organized,I find useful things to check again,When I have free time,I check it once in a while,Somewhat helpful,Quick search or filters
11/13/2025 10:21:42,Several times a day,LinkedIn,Save or mark it,Save post or video on the same app,6-15,Hardly ever,Looking for a specific item,Very difficult,Mostly in one place,Hard to manage,I scroll through quickly,When I’m reminded by something,I forget about it,Not helpful,Grouping by topic
11/13/2025 10:27:10,Several times a day,"LinkedIn, Twitter / X",Save or mark it,"Save post or video on the same app, Send to myself or a friend",16-30,Every day,Browsing casually,Very easy,Spread across a few apps.,Unorganized but manageable,I feel like I have too many items,When I’m reminded by something,I check it once in a while,Neutral,Better organization tools
11/13/2025 10:30:23,Several times a day,Google / Blogs,Share it with someone,"Save post or video on the same app, Send to myself or a friend, Take a screenshot, Bookmark it in browser, Write it down in a note app",16-30,once or twice a week,Looking for a specific item,Somewhat easy,Spread across a few apps.,Well organized,I find useful things to check again,When I need information for a task,I check it once in a while,Very helpful,Quick search or filters
11/13/2025 10:30:52,A few times a week,"YouTube, Instagram / Reels, WhatsApp / Telegram groups",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",0-5,Hardly ever,Looking for a specific item,Very difficult,Spread across a few apps.,Hard to manage,I feel like I have too many items,Rarely do so,I forget about it,Not helpful,Occasional reminders
11/13/2025 10:34:55,A few times a week,"YouTube, LinkedIn, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",0-5,Hardly ever,Looking for a specific item,Very difficult,Mostly in one place,Unorganized but manageable,I feel like I have too many items,Rarely do so,It stays unused,Neutral,Occasional reminders
11/13/2025 10:36:10,Several times a day,"YouTube, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",16-30,once or twice a week,Browsing casually,Somewhat difficult,I don’t keep track,Unorganized but manageable,I feel like I have too many items,Rarely do so,I check it once in a while,Neutral,Visual dashboard or timeline
11/13/2025 10:36:31,A few times a week,"YouTube, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot",0-5,Hardly ever,Looking for a specific item,Somewhat difficult,Mostly in one place,Unorganized but manageable,I feel like I have too many items,When I’m reminded by something,I check it once in a while,Neutral,Occasional reminders
11/13/2025 10:37:40,A few times a week,LinkedIn,Save or mark it,"Save post or video on the same app, Send to myself or a friend",0-5,Hardly ever,Looking for a specific item,Somewhat difficult,Spread across a few apps.,Somewhat organized,I feel like I have too many items,Rarely do so,I check it once in a while,Somewhat helpful,Grouping by topic
11/13/2025 10:38:22,Several times a day,"YouTube, LinkedIn, Other",OptionWatch or read it right away,"Save post or video on the same app, Bookmark it in browser, Write it down in a note app",0-5,Every day,Checking recent saves,Somewhat easy,Spread across a few apps.,Somewhat organized,I find useful things to check again,When I have free time,I check it once in a while,Somewhat helpful,Grouping by topic
11/13/2025 10:41:10,A few times a week,LinkedIn,Save or mark it,"Save post or video on the same app, Take a screenshot",0-5,Hardly ever,Looking for a specific item,Very difficult,Spread across a few apps.,Hard to manage,I rarely open it,Rarely do so,I forget about it,Not helpful,Better organization tools
11/13/2025 10:42:19,Several times a day,"YouTube, Instagram / Reels, LinkedIn, WhatsApp / Telegram groups, Google / Blogs",Save or mark it,"Save post or video on the same app, Send to myself or a friend, Take a screenshot, Write it down in a note app",6-15,once or twice a week,Looking for a specific item,Somewhat easy,Spread across a few apps.,Somewhat organized,I find useful things to check again,When I need information for a task,I check it once in a while,Somewhat helpful,Quick search or filters
